ID,first_name,last_name,date_of_birth,gender,email,MSISDN,agree_for_promo,autopay_card,customer_category,language,customer_since,region,status
0,翔太,山本,1970-04-01,F,D*******6@yahoo.com,90-9534-3397,Yes,No,physical,Japanese,2002-04-01,Kyūshū & Okinawa,Active
1,淳,山口,1957-02-17,M,H*******2@hotmail.com,90-9030-5095,Yes,No,physical,Korean,2020-10-03,Kantō,Active
2,淳,石川,1954-08-14,M,R*******0@gmail.com,90-0250-0280,No,Yes,physical,Japanese,2016-03-23,Kantō,Active
3,浩,井上,1977-04-08,F,U*******8@hotmail.com,90-7439-0050,No,Yes,physical,Japanese,2013-01-18,Kyūshū & Okinawa,Active
4,幹,鈴木,1943-03-15,F,n*******9@yahoo.com,90-2473-2212,Yes,Yes,physical,Chinese,2013-11-08,Kantō,Active
5,京助,加藤,1985-12-17,F,b*******6@gmail.com,90-6956-5153,No,Yes,physical,Japanese,2016-12-13,Kantō,Active
6,翼,木村,2000-03-10,F,o*******1@yahoo.com,90-9105-6398,No,Yes,physical,Japanese,2017-02-05,Kantō,Active
7,知実,松田,1979-03-12,F,h*******4@yahoo.com,90-1490-7845,No,Yes,physical,Japanese,2014-06-07,Kantō,Active
8,香織,石井,1969-02-03,M,r*******5@yahoo.com,90-2173-5393,No,No,physical,Japanese,2010-07-04,Kantō,Active
9,花子,山田,1970-07-21,M,s*******1@hotmail.com,90-9939-5624,No,No,physical,Japanese,2016-08-10,Chūbu,Active
10,桃子,渡辺,1976-08-05,F,o*******9@hotmail.com,90-3449-1773,No,Yes,physical,Japanese,2018-06-27,Kansai(Kinki),Active
11,裕太,加藤,1963-12-17,F,t*******0@gmail.com,90-5507-7250,No,Yes,physical,Japanese,2019-11-28,Kantō,Active
12,拓真,藤井,1960-10-05,M,p*******8@hotmail.com,90-6685-8356,No,No,physical,Japanese,2010-08-04,Shikoku,Active
13,くみ子,三浦,2003-12-19,M,h*******0@yahoo.com,90-7712-1675,No,Yes,physical,Japanese,2020-12-09,Chūbu,Active
14,京助,森,1948-09-20,F,L*******8@yahoo.com,90-3592-2118,No,Yes,physical,Japanese,2002-09-24,Chūbu,Active
15,真綾,池田,1994-02-28,F,p*******5@yahoo.com,90-0678-4887,No,Yes,physical,Japanese,2014-11-10,Kansai(Kinki),Active
16,治,森,1976-12-14,F,f*******0@gmail.com,90-9594-8071,No,No,physical,Japanese,2014-11-22,Kyūshū & Okinawa,Active
17,明美,佐々木,1940-09-25,F,a*******2@gmail.com,90-0941-1716,Yes,Yes,physical,Japanese,2019-06-28,Chūbu,Active
18,春香,高橋,1984-01-18,F,u*******6@yahoo.com,90-9979-1579,No,Yes,physical,Japanese,2015-10-06,Kantō,Active
19,里佳,田中,1988-12-05,F,l*******8@gmail.com,90-8677-6319,Yes,No,physical,Japanese,2013-07-17,Chūbu,Active
20,香織,吉田,1985-10-18,F,y*******7@hotmail.com,90-2681-0345,No,No,physical,Japanese,2017-04-28,Kansai(Kinki),Active
21,太郎,山口,2001-08-26,M,X*******0@hotmail.com,90-4492-4833,No,Yes,physical,Japanese,2019-04-28,Kantō,Active
22,修平,佐藤,1948-02-22,F,o*******8@hotmail.com,90-0160-3457,No,Yes,physical,Japanese,2015-08-19,Chūgoku,Active
23,結衣,池田,1960-04-25,F,Y*******1@yahoo.com,90-1375-6803,No,Yes,physical,Japanese,2011-01-03,Chūbu,Active
24,裕樹,佐藤,1948-09-04,F,J*******5@yahoo.com,90-6763-3469,Yes,No,physical,Japanese,2019-02-10,Kantō,Active
25,淳,池田,1992-10-05,F,B*******6@gmail.com,90-3705-8960,Yes,Yes,physical,Japanese,2020-05-04,Hokkaidō,Active
26,さゆり,佐藤,1964-06-26,F,u*******2@hotmail.com,90-8576-4548,Yes,No,physical,Japanese,2010-09-02,Kansai(Kinki),Active
27,香織,山本,1996-09-16,M,B*******1@gmail.com,90-0603-7155,Yes,No,physical,Japanese,2020-03-16,Kantō,Active
28,京助,長谷川,1962-03-17,F,S*******1@gmail.com,90-0035-7509,No,Yes,physical,Japanese,2021-07-12,Kansai(Kinki),Active
29,舞,田中,1996-08-20,F,c*******4@gmail.com,90-0355-1348,Yes,No,physical,Japanese,2014-07-02,Kantō,Active
30,裕美子,井上,1958-07-21,M,i*******3@yahoo.com,90-5512-5345,No,No,physical,Japanese,2020-02-24,Hokkaidō,Active
31,涼平,吉田,1952-08-29,M,x*******9@gmail.com,90-5218-7289,No,Yes,physical,Japanese,2007-03-28,Tōhoku,Active
32,裕美子,中村,1970-01-28,F,H*******0@yahoo.com,90-8615-6302,No,No,physical,Japanese,2019-05-15,Kansai(Kinki),Active
33,美加子,石井,1979-10-28,M,M*******2@gmail.com,90-2068-5059,Yes,Yes,physical,Japanese,2016-07-25,Kansai(Kinki),Active
34,千代,山本,1959-10-16,M,p*******8@gmail.com,90-8596-2405,No,No,physical,Japanese,2006-07-22,Kantō,Active
35,七夏,藤田,1996-06-18,M,z*******4@yahoo.com,90-9751-4872,Yes,No,business,Japanese,2017-08-10,Kantō,Active
36,真綾,高橋,1951-10-17,M,w*******7@yahoo.com,90-0233-2621,No,Yes,physical,Japanese,2021-02-06,Chūbu,Active
37,香織,小川,2004-07-05,F,s*******8@gmail.com,90-7104-2856,No,Yes,physical,Japanese,2020-05-28,Kyūshū & Okinawa,Active
