ID,first_name,last_name,date_of_birth,gender,email,MSISDN,agree_for_promo,autopay_card,customer_category,language,customer_since,region,status
0,さゆり,山崎,2004-05-26,M,C*******8@gmail.com,90-7084-4635,No,Yes,physical,Japanese,2020-03-07,Kantō,active
1,直子,渡辺,1993-10-17,F,O*******5@yahoo.com,90-5460-3945,No,Yes,physical,Japanese,2010-11-21,Kantō,active
2,舞,青木,1994-01-03,M,v*******5@hotmail.com,90-8598-0092,No,Yes,physical,Japanese,2011-02-05,Kansai(Kinki),inactive(debt)
3,舞,鈴木,1987-12-24,F,N*******9@yahoo.com,90-8353-5522,No,Yes,physical,Japanese,2016-06-17,Kyūshū & Okinawa,active
4,学,中村,1951-03-16,F,R*******4@hotmail.com,90-7877-8066,No,No,physical,Japanese,2021-10-04,Kantō,active
5,康弘,長谷川,1973-12-10,F,S*******8@hotmail.com,90-2984-6914,No,No,physical,Japanese,2011-10-15,Kantō,active
6,明美,山本,1976-02-17,F,V*******6@gmail.com,90-8615-6411,No,Yes,physical,Japanese,2020-11-12,Chūbu,active
7,康弘,鈴木,1972-09-22,F,O*******5@gmail.com,90-4834-8367,No,No,physical,Japanese,2021-11-12,Kansai(Kinki),active
8,さゆり,高橋,1981-06-14,M,p*******4@hotmail.com,90-7455-0560,No,Yes,physical,Japanese,2011-12-07,Kantō,active
9,結衣,山崎,1966-07-19,F,j*******3@hotmail.com,90-2611-9208,Yes,No,physical,Japanese,2019-09-21,Kantō,active
10,加奈,斎藤,1999-08-06,M,h*******9@gmail.com,90-1676-5574,No,Yes,physical,Japanese,2020-12-05,Shikoku,active
11,七夏,岡田,2004-10-28,F,R*******4@yahoo.com,90-1147-9245,No,Yes,physical,Japanese,2020-05-19,Tōhoku,active
12,桃子,高橋,1948-08-15,F,F*******4@gmail.com,90-1046-4540,Yes,Yes,physical,Japanese,2007-08-26,Kantō,active
13,浩,田中,1983-01-26,F,O*******8@hotmail.com,90-7501-7551,Yes,Yes,physical,Japanese,2017-07-29,Kantō,active
14,あすか,加藤,1966-07-04,F,g*******0@gmail.com,90-5048-0705,No,Yes,physical,Japanese,2019-12-21,Kantō,active
